Figure,Panel,Series,Output / unit,Minimum,Maximum,Finite points,Missing points
ch20_level_controller_response.png,1,Separator Level,Liquid Level [%],50.0,100.0,600,0
ch20_level_controller_response.png,1,Setpoint,Liquid Level [%],50.0,50.0,2,0
ch20_level_controller_response.png,1,Feed step change,Liquid Level [%],0.0,1.0,2,0
ch20_level_controller_response.png,2,Valve Position,Valve Opening [%],47.11885060151076,50.0,600,0
ch20_level_controller_response.png,2,Curve 2,Valve Opening [%],0.0,1.0,2,0
ch20_pid_tuning_comparison.png,1,Kp = 0.5,Liquid Level [%],50.0,100.0,600,0
ch20_pid_tuning_comparison.png,1,Kp = 2.0,Liquid Level [%],50.0,100.0,600,0
ch20_pid_tuning_comparison.png,1,Kp = 5.0,Liquid Level [%],50.0,100.0,600,0
ch20_pid_tuning_comparison.png,1,Setpoint,Liquid Level [%],50.0,50.0,2,0
ch20_pid_tuning_comparison.png,1,Curve 5,Liquid Level [%],0.0,1.0,2,0
